Time (rel/ms),Date,Time,Type,No.,Phase,Day,duration,System,Channel,F,Fm,PAR,Y(II),ETR
268456660,2022-03-23T23:00:00Z,1899-12-31T14:35:16Z,FO,139,stress,1,1,AMV,C15,511,1401,0,0.635,0.0
268463380,2022-03-23T23:00:00Z,1899-12-31T14:35:23Z,FO,140,stress,1,1,AMV,C15,220,503,0,0.563,0.0
268467060,2022-03-23T23:00:00Z,1899-12-31T14:35:27Z,FO,141,stress,1,1,,,304,304,0,0.000,0.0
268476540,2022-03-23T23:00:00Z,1899-12-31T14:35:36Z,FO,142,stress,1,1,AMV,C16,546,1039,0,0.474,0.0
268482060,2022-03-23T23:00:00Z,1899-12-31T14:35:42Z,FO,143,stress,1,1,AMV,C16,560,1220,0,0.541,0.0
268489360,2022-03-23T23:00:00Z,1899-12-31T14:35:49Z,FO,144,stress,1,1,AMV,C16,384,922,0,0.584,0.0
268496580,2022-03-23T23:00:00Z,1899-12-31T14:35:56Z,FO,145,stress,1,1,AMV,C16,227,662,0,0.657,0.0
268501920,2022-03-23T23:00:00Z,1899-12-31T14:36:01Z,FO,146,stress,1,1,,,181,181,0,0.000,0.0
268512000,2022-03-23T23:00:00Z,1899-12-31T14:36:12Z,FO,147,stress,1,1,AMV,C17,449,1019,0,0.559,0.0
268519420,2022-03-23T23:00:00Z,1899-12-31T14:36:19Z,FO,148,stress,1,1,AMV,C17,396,855,0,0.537,0.0
268527560,2022-03-23T23:00:00Z,1899-12-31T14:36:27Z,FO,149,stress,1,1,AMV,C17,208,556,0,0.626,0.0
268534780,2022-03-23T23:00:00Z,1899-12-31T14:36:34Z,FO,150,stress,1,1,AMV,C17,341,680,0,0.499,0.0
268542640,2022-03-23T23:00:00Z,1899-12-31T14:36:42Z,FO,151,stress,1,1,,,9,11,0,-,-
268551640,2022-03-23T23:00:00Z,1899-12-31T14:36:51Z,FO,152,stress,1,1,AMV,C18,537,1198,0,0.552,0.0
268559000,2022-03-23T23:00:00Z,1899-12-31T14:36:59Z,FO,153,stress,1,1,AMV,C18,127,244,0,0.480,0.0
268568400,2022-03-23T23:00:00Z,1899-12-31T14:37:08Z,FO,154,stress,1,1,AMV,C18,299,871,0,0.657,0.0
268574560,2022-03-23T23:00:00Z,1899-12-31T14:37:14Z,FO,155,stress,1,1,AMV,C18,178,541,0,0.671,0.0
268578000,2022-03-23T23:00:00Z,1899-12-31T14:37:18Z,FO,156,stress,1,1,,,217,217,0,0.000,0.0
268585000,2022-03-23T23:00:00Z,1899-12-31T14:37:25Z,FO,157,stress,1,1,AMV,C19,332,764,0,0.565,0.0
268592720,2022-03-23T23:00:00Z,1899-12-31T14:37:32Z,FO,158,stress,1,1,AMV,C19,430,800,0,0.463,0.0
268599560,2022-03-23T23:00:00Z,1899-12-31T14:37:39Z,FO,159,stress,1,1,AMV,C19,206,350,0,0.411,0.0
268607340,2022-03-23T23:00:00Z,1899-12-31T14:37:47Z,FO,160,stress,1,1,AMV,C19,203,463,0,0.562,0.0
268612380,2022-03-23T23:00:00Z,1899-12-31T14:37:52Z,FO,161,stress,1,1,,,170,170,0,0.000,0.0
268625420,2022-03-23T23:00:00Z,1899-12-31T14:38:05Z,FO,162,stress,1,1,AMV,C20,344,781,0,0.560,0.0
268633000,2022-03-23T23:00:00Z,1899-12-31T14:38:13Z,FO,163,stress,1,1,AMV,C20,199,456,0,0.564,0.0
268639880,2022-03-23T23:00:00Z,1899-12-31T14:38:19Z,FO,164,stress,1,1,AMV,C20,284,618,0,0.540,0.0
268647300,2022-03-23T23:00:00Z,1899-12-31T14:38:27Z,FO,165,stress,1,1,AMV,C20,258,614,0,0.580,0.0
268652060,2022-03-23T23:00:00Z,1899-12-31T14:38:32Z,FO,166,stress,1,1,,,133,133,0,0.000,0.0
268662420,2022-03-23T23:00:00Z,1899-12-31T14:38:42Z,FO,167,stress,1,1,AMV,C21,627,1188,0,0.472,0.0
268669320,2022-03-23T23:00:00Z,1899-12-31T14:38:49Z,FO,168,stress,1,1,AMV,C21,449,1083,0,0.585,0.0
268677380,2022-03-23T23:00:00Z,1899-12-31T14:38:57Z,FO,169,stress,1,1,AMV,C21,238,690,0,0.655,0.0
268684860,2022-03-23T23:00:00Z,1899-12-31T14:39:04Z,FO,170,stress,1,1,AMV,C21,371,717,0,0.483,0.0
268689900,2022-03-23T23:00:00Z,1899-12-31T14:39:09Z,FO,171,stress,1,1,,,204,204,0,0.000,0.0
268702440,2022-03-23T23:00:00Z,1899-12-31T14:39:22Z,FO,172,stress,1,1,AMV,C22,408,1000,0,0.592,0.0
268709260,2022-03-23T23:00:00Z,1899-12-31T14:39:29Z,FO,173,stress,1,1,AMV,C22,438,1026,0,0.573,0.0
