"","Time..rel.ms.","Date","Time","Type","No.","Phase","Day","duration","System","Channel","F","Fm","PAR","Y.II.","ETR"
"90",271363060,"2022-03-23T23:00:00Z","1899-12-31T15:23:43Z","FO",508,"stress",1,1,"IMP","C23",278,603,"0","0.539","0.0"
"91",271375600,"2022-03-23T23:00:00Z","1899-12-31T15:23:55Z","FO",509,"stress",1,1,"IMP","C23",207,566,"0","0.634","0.0"
"92",271385060,"2022-03-23T23:00:00Z","1899-12-31T15:24:05Z","FO",510,"stress",1,1,"IMP","C23",385,924,"0","0.583","0.0"
"93",271404340,"2022-03-23T23:00:00Z","1899-12-31T15:24:24Z","FO",512,"stress",1,1,"IMP","C24",429,964,"0","0.555","0.0"
"94",271411060,"2022-03-23T23:00:00Z","1899-12-31T15:24:31Z","FO",513,"stress",1,1,"IMP","C24",202,505,"0","0.600","0.0"
"95",271418500,"2022-03-23T23:00:00Z","1899-12-31T15:24:38Z","FO",514,"stress",1,1,"IMP","C24",217,341,"0","0.364","0.0"
"96",271430620,"2022-03-23T23:00:00Z","1899-12-31T15:24:50Z","FO",515,"stress",1,1,"IMP","C24",186,422,"0","0.559","0.0"
"97",271459500,"2022-03-23T23:00:00Z","1899-12-31T15:25:19Z","FO",518,"stress",1,1,"IMP","C25",527,1469,"0","0.641","0.0"
"98",271465920,"2022-03-23T23:00:00Z","1899-12-31T15:25:25Z","FO",519,"stress",1,1,"IMP","C25",563,1034,"0","0.456","0.0"
"99",271472660,"2022-03-23T23:00:00Z","1899-12-31T15:25:32Z","FO",520,"stress",1,1,"IMP","C25",494,1132,"0","0.564","0.0"
"100",271482420,"2022-03-23T23:00:00Z","1899-12-31T15:25:42Z","FO",521,"stress",1,1,"IMP","C25",230,474,"0","0.515","0.0"
"101",271496200,"2022-03-23T23:00:00Z","1899-12-31T15:25:56Z","FO",523,"stress",1,1,"IMP","C26",466,1098,"0","0.576","0.0"
"102",271502860,"2022-03-23T23:00:00Z","1899-12-31T15:26:02Z","FO",524,"stress",1,1,"IMP","C26",580,1286,"0","0.549","0.0"
"103",271508620,"2022-03-23T23:00:00Z","1899-12-31T15:26:08Z","FO",525,"stress",1,1,"IMP","C26",410,786,"0","0.478","0.0"
"104",271515760,"2022-03-23T23:00:00Z","1899-12-31T15:26:15Z","FO",526,"stress",1,1,"IMP","C26",178,876,"0","0.797","0.0"
"105",271531220,"2022-03-23T23:00:00Z","1899-12-31T15:26:31Z","FO",528,"stress",1,1,"IMP","C27",426,1071,"0","0.602","0.0"
"106",271537280,"2022-03-23T23:00:00Z","1899-12-31T15:26:37Z","FO",529,"stress",1,1,"IMP","C27",572,1390,"0","0.588","0.0"
"107",271544560,"2022-03-23T23:00:00Z","1899-12-31T15:26:44Z","FO",530,"stress",1,1,"IMP","C27",455,1103,"0","0.587","0.0"
"108",271559940,"2022-03-23T23:00:00Z","1899-12-31T15:26:59Z","FO",531,"stress",1,1,"IMP","C27",336,1048,"0","0.679","0.0"
"109",271586280,"2022-03-23T23:00:00Z","1899-12-31T15:27:26Z","FO",534,"stress",1,1,"IMP","C28",253,480,"0","0.473","0.0"
"110",271593720,"2022-03-23T23:00:00Z","1899-12-31T15:27:33Z","FO",535,"stress",1,1,"IMP","C28",212,577,"0","0.633","0.0"
"111",271599740,"2022-03-23T23:00:00Z","1899-12-31T15:27:39Z","FO",536,"stress",1,1,"IMP","C28",241,644,"0","0.626","0.0"
"112",271606440,"2022-03-23T23:00:00Z","1899-12-31T15:27:46Z","FO",537,"stress",1,1,"IMP","C28",107,224,"0","0.522","0.0"
"113",271620200,"2022-03-23T23:00:00Z","1899-12-31T15:28:00Z","FO",539,"stress",1,1,"IMP","C29",387,1026,"0","0.623","0.0"
"114",271628680,"2022-03-23T23:00:00Z","1899-12-31T15:28:08Z","FO",540,"stress",1,1,"IMP","C29",168,547,"0","0.693","0.0"
"115",271635100,"2022-03-23T23:00:00Z","1899-12-31T15:28:15Z","FO",541,"stress",1,1,"IMP","C29",240,670,"0","0.642","0.0"
"116",271642680,"2022-03-23T23:00:00Z","1899-12-31T15:28:22Z","FO",542,"stress",1,1,"IMP","C29",140,383,"0","0.634","0.0"
"117",271658200,"2022-03-23T23:00:00Z","1899-12-31T15:28:38Z","FO",544,"stress",1,1,"IMP","C30",459,1135,"0","0.596","0.0"
"118",271664680,"2022-03-23T23:00:00Z","1899-12-31T15:28:44Z","FO",545,"stress",1,1,"IMP","C30",282,1033,"0","0.727","0.0"
"119",271672760,"2022-03-23T23:00:00Z","1899-12-31T15:28:52Z","FO",546,"stress",1,1,"IMP","C30",292,771,"0","0.621","0.0"
"120",271679820,"2022-03-23T23:00:00Z","1899-12-31T15:28:59Z","FO",547,"stress",1,1,"IMP","C30",228,304,"0","0.250","0.0"
"121",271692280,"2022-03-23T23:00:00Z","1899-12-31T15:29:12Z","FO",549,"stress",1,1,"IMP","C31",540,1411,"0","0.617","0.0"
"122",271700700,"2022-03-23T23:00:00Z","1899-12-31T15:29:20Z","FO",550,"stress",1,1,"IMP","C31",406,1110,"0","0.634","0.0"
"123",271707460,"2022-03-23T23:00:00Z","1899-12-31T15:29:27Z","FO",551,"stress",1,1,"IMP","C31",330,1099,"0","0.700","0.0"
"124",271716860,"2022-03-23T23:00:00Z","1899-12-31T15:29:36Z","FO",552,"stress",1,1,"IMP","C31",310,753,"0","0.588","0.0"
"125",271728980,"2022-03-23T23:00:00Z","1899-12-31T15:29:48Z","FO",555,"stress",1,1,"IMP","C32",441,1923,"0","0.771","0.0"
"126",271739720,"2022-03-23T23:00:00Z","1899-12-31T15:29:59Z","FO",556,"stress",1,1,"IMP","C32",395,682,"0","0.421","0.0"
"127",271746780,"2022-03-23T23:00:00Z","1899-12-31T15:30:06Z","FO",557,"stress",1,1,"IMP","C32",190,620,"0","0.694","0.0"
"128",271753660,"2022-03-23T23:00:00Z","1899-12-31T15:30:13Z","FO",558,"stress",1,1,"IMP","C32",244,526,"0","0.536","0.0"
"129",271786760,"2022-03-23T23:00:00Z","1899-12-31T15:30:46Z","FO",562,"stress",1,1,"IMP","C33",372,870,"0","0.572","0.0"
"130",271792700,"2022-03-23T23:00:00Z","1899-12-31T15:30:52Z","FO",563,"stress",1,1,"IMP","C33",395,894,"0","0.558","0.0"
"131",271799240,"2022-03-23T23:00:00Z","1899-12-31T15:30:59Z","FO",564,"stress",1,1,"IMP","C33",118,1192,"0","0.901","0.0"
"132",271808060,"2022-03-23T23:00:00Z","1899-12-31T15:31:08Z","FO",565,"stress",1,1,"IMP","C33",681,1620,"0","0.580","0.0"
"133",271829580,"2022-03-23T23:00:00Z","1899-12-31T15:31:29Z","FO",567,"stress",1,1,"IMP","C34",518,982,"0","0.473","0.0"
"134",271836780,"2022-03-23T23:00:00Z","1899-12-31T15:31:36Z","FO",568,"stress",1,1,"IMP","C34",340,1047,"0","0.675","0.0"
"135",271843560,"2022-03-23T23:00:00Z","1899-12-31T15:31:43Z","FO",569,"stress",1,1,"IMP","C34",119,775,"0","0.846","0.0"
"136",271849460,"2022-03-23T23:00:00Z","1899-12-31T15:31:49Z","FO",570,"stress",1,1,"IMP","C34",586,1777,"0","0.670","0.0"
"137",271870880,"2022-03-23T23:00:00Z","1899-12-31T15:32:10Z","FO",572,"stress",1,1,"IMP","C35",366,989,"0","0.630","0.0"
"138",271878100,"2022-03-23T23:00:00Z","1899-12-31T15:32:18Z","FO",573,"stress",1,1,"IMP","C35",423,805,"0","0.475","0.0"
"139",271894160,"2022-03-23T23:00:00Z","1899-12-31T15:32:34Z","FO",574,"stress",1,1,"IMP","C35",84,171,"0","0.509","0.0"
"140",271902640,"2022-03-23T23:00:00Z","1899-12-31T15:32:42Z","FO",575,"stress",1,1,"IMP","C35",103,212,"0","0.514","0.0"
"141",271922700,"2022-03-23T23:00:00Z","1899-12-31T15:33:02Z","FO",577,"stress",1,1,"IMP","C36",335,742,"0","0.549","0.0"
"142",271929880,"2022-03-23T23:00:00Z","1899-12-31T15:33:09Z","FO",578,"stress",1,1,"IMP","C36",254,508,"0","0.500","0.0"
"143",271939060,"2022-03-23T23:00:00Z","1899-12-31T15:33:19Z","FO",579,"stress",1,1,"IMP","C36",201,525,"0","0.617","0.0"
"144",271946100,"2022-03-23T23:00:00Z","1899-12-31T15:33:26Z","FO",580,"stress",1,1,"IMP","C36",260,951,"0","0.727","0.0"
"145",271974120,"2022-03-23T23:00:00Z","1899-12-31T15:33:54Z","FO",582,"stress",1,1,"IMP","C37",251,390,"0","0.356","0.0"
"146",271980560,"2022-03-23T23:00:00Z","1899-12-31T15:34:00Z","FO",583,"stress",1,1,"IMP","C37",351,814,"0","0.569","0.0"
"147",271985000,"2022-03-23T23:00:00Z","1899-12-31T15:34:05Z","FO",584,"stress",1,1,"IMP","C37",329,797,"0","0.587","0.0"
"148",271993820,"2022-03-23T23:00:00Z","1899-12-31T15:34:13Z","FO",585,"stress",1,1,"IMP","C37",388,1002,"0","0.613","0.0"
"149",272006080,"2022-03-23T23:00:00Z","1899-12-31T15:34:26Z","FO",587,"stress",1,1,"IMP","C38",409,936,"0","0.563","0.0"
"150",272013220,"2022-03-23T23:00:00Z","1899-12-31T15:34:33Z","FO",588,"stress",1,1,"IMP","C38",522,957,"0","0.455","0.0"
"151",272020820,"2022-03-23T23:00:00Z","1899-12-31T15:34:40Z","FO",589,"stress",1,1,"IMP","C38",403,541,"0","0.255","0.0"
"152",272028300,"2022-03-23T23:00:00Z","1899-12-31T15:34:48Z","FO",590,"stress",1,1,"IMP","C38",241,659,"0","0.634","0.0"
"153",272053120,"2022-03-23T23:00:00Z","1899-12-31T15:35:13Z","FO",593,"stress",1,1,"IMP","C39",285,755,"0","0.623","0.0"
"154",272058260,"2022-03-23T23:00:00Z","1899-12-31T15:35:18Z","FO",594,"stress",1,1,"IMP","C39",448,1268,"0","0.647","0.0"
"155",272064760,"2022-03-23T23:00:00Z","1899-12-31T15:35:24Z","FO",595,"stress",1,1,"IMP","C39",332,546,"0","0.392","0.0"
"156",272072360,"2022-03-23T23:00:00Z","1899-12-31T15:35:32Z","FO",596,"stress",1,1,"IMP","C39",634,1212,"0","0.477","0.0"
"157",272090640,"2022-03-23T23:00:00Z","1899-12-31T15:35:50Z","FO",598,"stress",1,1,"IMP","C40",318,713,"0","0.554","0.0"
"158",272096400,"2022-03-23T23:00:00Z","1899-12-31T15:35:56Z","FO",599,"stress",1,1,"IMP","C40",213,408,"0","0.478","0.0"
"159",272103400,"2022-03-23T23:00:00Z","1899-12-31T15:36:03Z","FO",600,"stress",1,1,"IMP","C40",202,382,"0","0.471","0.0"
"160",272116900,"2022-03-23T23:00:00Z","1899-12-31T15:36:16Z","FO",601,"stress",1,1,"IMP","C40",382,957,"0","0.601","0.0"
"161",272133180,"2022-03-23T23:00:00Z","1899-12-31T15:36:33Z","FO",603,"stress",1,1,"IMP","C41",280,1177,"0","0.762","0.0"
"162",272139580,"2022-03-23T23:00:00Z","1899-12-31T15:36:39Z","FO",604,"stress",1,1,"IMP","C41",482,1083,"0","0.555","0.0"
"163",272144680,"2022-03-23T23:00:00Z","1899-12-31T15:36:44Z","FO",605,"stress",1,1,"IMP","C41",445,657,"0","0.323","0.0"
"164",272150240,"2022-03-23T23:00:00Z","1899-12-31T15:36:50Z","FO",606,"stress",1,1,"IMP","C41",148,592,"0","0.750","0.0"
"165",272155760,"2022-03-23T23:00:00Z","1899-12-31T15:36:55Z","FO",607,"stress",1,1,"IMP","C41",162,286,"0","0.434","0.0"
"166",272167540,"2022-03-23T23:00:00Z","1899-12-31T15:37:07Z","FO",609,"stress",1,1,"IMP","C42",557,1247,"0","0.553","0.0"
"167",272173940,"2022-03-23T23:00:00Z","1899-12-31T15:37:13Z","FO",610,"stress",1,1,"IMP","C42",370,914,"0","0.595","0.0"
"168",272179920,"2022-03-23T23:00:00Z","1899-12-31T15:37:19Z","FO",611,"stress",1,1,"IMP","C42",198,719,"0","0.725","0.0"
"169",272186260,"2022-03-23T23:00:00Z","1899-12-31T15:37:26Z","FO",612,"stress",1,1,"IMP","C42",192,1284,"0","0.850","0.0"
"170",272201720,"2022-03-23T23:00:00Z","1899-12-31T15:37:41Z","FO",614,"stress",1,1,"IMP","C43",544,1109,"0","0.509","0.0"
"171",272206580,"2022-03-23T23:00:00Z","1899-12-31T15:37:46Z","FO",615,"stress",1,1,"IMP","C43",302,729,"0","0.586","0.0"
"172",272211640,"2022-03-23T23:00:00Z","1899-12-31T15:37:51Z","FO",616,"stress",1,1,"IMP","C43",349,988,"0","0.647","0.0"
"173",272218820,"2022-03-23T23:00:00Z","1899-12-31T15:37:58Z","FO",617,"stress",1,1,"IMP","C43",295,661,"0","0.554","0.0"
"174",272229720,"2022-03-23T23:00:00Z","1899-12-31T15:38:09Z","FO",619,"stress",1,1,"IMP","C44",213,836,"0","0.745","0.0"
"175",272234660,"2022-03-23T23:00:00Z","1899-12-31T15:38:14Z","FO",620,"stress",1,1,"IMP","C44",302,790,"0","0.618","0.0"
"176",272239680,"2022-03-23T23:00:00Z","1899-12-31T15:38:19Z","FO",621,"stress",1,1,"IMP","C44",248,414,"0","0.401","0.0"
"177",272246820,"2022-03-23T23:00:00Z","1899-12-31T15:38:26Z","FO",622,"stress",1,1,"IMP","C44",165,671,"0","0.754","0.0"
"178",272259060,"2022-03-23T23:00:00Z","1899-12-31T15:38:39Z","FO",624,"stress",1,1,"IMP","C45",332,791,"0","0.580","0.0"
"179",272266140,"2022-03-23T23:00:00Z","1899-12-31T15:38:46Z","FO",625,"stress",1,1,"IMP","C45",279,1046,"0","0.733","0.0"
"180",272271080,"2022-03-23T23:00:00Z","1899-12-31T15:38:51Z","FO",626,"stress",1,1,"IMP","C45",429,915,"0","0.531","0.0"
"181",272278600,"2022-03-23T23:00:00Z","1899-12-31T15:38:58Z","FO",627,"stress",1,1,"IMP","C45",223,675,"0","0.670","0.0"
"182",272293840,"2022-03-23T23:00:00Z","1899-12-31T15:39:13Z","FO",629,"stress",1,1,"IMP","C46",424,1077,"0","0.606","0.0"
"183",272299140,"2022-03-23T23:00:00Z","1899-12-31T15:39:19Z","FO",630,"stress",1,1,"IMP","C46",539,1129,"0","0.523","0.0"
"184",272303500,"2022-03-23T23:00:00Z","1899-12-31T15:39:23Z","FO",631,"stress",1,1,"IMP","C46",381,772,"0","0.506","0.0"
